SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,3838016,James Whiteside Elementary,38,Richmond                                ,Public School,9282 Williams Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,YES,YES,NO,49.1396836,-123.12053
2022/2023,3636186,Janice Churchill Elementary,36,Surrey                                  ,Public School,8226 146 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1527568,-122.81619
2022/2023,3737030,Jarvis Traditional Elementary,37,Delta                                   ,Public School,7670 118 St,Delta                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1430991,-122.89441
2022/2023,3636089,Jessie Lee Elementary,36,Surrey                                  ,Public School,2064 154 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.0396626,-122.7946
2022/2023,3838056,Jessie Wowk Elementary,38,Richmond                                ,Public School,5380 Woodwards Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1433502,-123.16388
2022/2023,886005,Jewett Elementary,8,Kootenay Lake                           ,Public School,PO Box 39,Meadow Creek                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.2403671,-116.97623
2022/2023,5112005,John A. Hutton Elementary,51,Boundary                                ,Public School,PO Box 1390,Grand Forks                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.026,-118.47
2022/2023,5817006,John Allison Elementary,58,Nicola-Similkameen                      ,Public School,PO Box 40,Princeton                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.4571206,-120.52938
2022/2023,6868011,John Barsby Secondary,68,Nanaimo-Ladysmith                       ,Public School,550 Seventh St,Nanaimo                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1476812,-123.95093
2022/2023,3396192,John Calvin School,33,Chilliwack                              ,Independent School,4268 Stewart Rd,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0790778,-122.06706
2022/2023,3838052,John G Diefenbaker Elementary,38,Richmond                                ,Public School,4511 Hermitage Dr,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.1377663,-123.17669
2022/2023,3939106,John Henderson Elementary,39,Vancouver                               ,Public School,451 53rd Ave E,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2227349,-123.09507
2022/2023,7070018,John Howitt Elementary,70,Pacific Rim                             ,Public School,3867 Marpole St,Port Alberni                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2714847,-124.79314
2022/2023,4196182,John Knox Christian - Elementary Campus,41,Burnaby                                 ,Independent School,8260 13th Ave,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2261843,-122.92036
2022/2023,4096766,John Knox Christian - Secondary Campus,40,New Westminster                         ,Independent School,260 12th Street,New Westminster               ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.2026718,-122.92489
2022/2023,3434044,John MacLure Community School,34,Abbotsford                              ,Public School,2990 Oriole Cres,Abbotsford                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0562573,-122.3193
2022/2023,6262020,John Muir Elementary,62,Sooke                                   ,Public School,PO Box 790,Sooke                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.3707152,-123.74933
