SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2022/2023,6262040,Centre Mountain Lellum Middle School,62,Sooke                                   ,Public School,3090 Constellation Ave,Victoria                      ,STANDARD,MIDDLE SCHOOL,NO,NO,NO,NO,48.4484255,-123.54207
2022/2023,3996659,Century High School,39,Vancouver                               ,Independent School,1788 Broadway W Unit 200,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2634498,-123.14545
2022/2023,4141023,Chaffey-Burke Elementary,41,Burnaby                                 ,Public School,4404 Sardis St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2339804,-123.00536
2022/2023,3737022,Chalmers Elementary,37,Delta                                   ,Public School,11315 75 Ave,Delta                         ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.1403198,-122.9093
2022/2023,8197137,Chalo School,81,Fort Nelson                             ,Independent School,295 Alaska Highway,Fort Nelson                   ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,58.745572,-122.69401
2022/2023,3939137,Champlain Heights Annex,39,Vancouver                               ,Public School,7835 Champlain Cres,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2137335,-123.03091
2022/2023,3939128,Champlain Heights Community Elementary,39,Vancouver                               ,Public School,6955 Frontenac St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2207393,-123.02746
2022/2023,3636148,Chantrell Creek Elementary,36,Surrey                                  ,Public School,2575 137 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0485002,-122.84303
2022/2023,3896977,Chaoyin International School,38,Richmond                                ,Independent School,10111 Bird Rd,Richmond                      ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.190178,-123.11145
2022/2023,2222027,Charles Bloom Secondary,22,Vernon                                  ,Public School,PO Box 220,Lumby                         ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.2499688,-118.96418
2022/2023,3939124,Charles Dickens Annex,39,Vancouver                               ,Public School,3877 Glen Dr,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2502036,-123.08286
2022/2023,3939059,Charles Dickens Elementary,39,Vancouver                               ,Public School,1010 East 17th Ave,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2551112,-123.0829
2022/2023,5252018,Charles Hays Secondary,52,Prince Rupert                           ,Public School,PO Box 520,Prince Rupert                 ,STANDARD,SECONDARY,YES,YES,NO,NO,54.3111547,-130.30425
2022/2023,6060006,Charlie Lake Elementary,60,Peace River North                       ,Public School,PO Box 269,Charlie Lake                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,56.272911,-120.95158
2022/2023,4545030,Chartwell Elementary,45,West Vancouver                          ,Public School,1300 Chartwell Dr,West Vancouver                ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3459798,-123.1531
2022/2023,7373083,Chase Elementary-Secondary,73,Kamloops-Thompson                       ,Public School,PO Box 319,Chase                         ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.8154351,-119.69061
2022/2023,6868022,Chase River Elementary,68,Nanaimo-Ladysmith                       ,Public School,1503 Cranberry Ave,Nanaimo                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1227048,-123.92049
2022/2023,4646017,Chatelech Secondary,46,Sunshine Coast                          ,Public School,PO Box 1430,Sechelt                       ,STANDARD,SECONDARY,YES,NO,NO,NO,49.473525,-123.76891
2022/2023,3333013,Cheam Elementary,33,Chilliwack                              ,Public School,9895 Banford Rd,Chilliwack                    ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.1815068,-121.89408
2022/2023,896749,CHEK-ABC,8,Kootenay Lake                           ,Independent School,810 Tenth St,Nelson                        ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.5055444,-117.26831
2022/2023,7979041,Chemainus Elementary Community School,79,Cowichan Valley                         ,Public School,3172 Garner St,Chemainus                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.9304571,-123.73316
2022/2023,7979049,Chemainus Secondary,79,Cowichan Valley                         ,Public School,9947 Daniel St,Chemainus                     ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.9282665,-123.7247
2022/2023,7575023,Cherry Hill Elementary,75,Mission                                 ,Public School,32557 Best Ave,Mission                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1517876,-122.32249
2022/2023,2222005,Cherryville Elementary,22,Vernon                                  ,Public School,108 North Fork Rd,Cherryville                   ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.243874,-118.61401
2022/2023,8585029,Cheslakees Elementary,85,Vancouver Island North                  ,Public School,PO Box 1390,Port McNeill                  ,STANDARD,ELEMENTARY,NO,NO,NO,NO,50.5802,-127.065
2022/2023,5959011,Chetwynd Secondary,59,Peace River South                       ,Public School,4305 46th St NE,Chetwynd                      ,STANDARD,SECONDARY,NO,YES,NO,NO,55.704326,-121.614388
2022/2023,3434047,Chief Dan George Middle,34,Abbotsford                              ,Public School,32877 Old Riverside Rd,Abbotsford                    ,STANDARD,MIDDLE SCHOOL,YES,YES,YES,NO,49.0666537,-122.31369
2022/2023,3939089,Chief Maquinna Elementary,39,Vancouver                               ,Public School,2684 2nd Ave E,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.268032,-123.0508
2022/2023,2323073,Chief Tomat Elementary,23,Central Okanagan                        ,Public School,3365 East Boundary Rd,West Kelowna                  ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.8419274,-119.58785
2022/2023,2727041,Chilcotin Road Elementary,27,Cariboo-Chilcotin                       ,Public School,709 Lyne Rd,Williams Lake                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,52.1147374,-122.17231
2022/2023,4396806,Children of Integrity Montessori,43,Coquitlam                               ,Independent School,2541 Quay Pl,Coquitlam                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2732459,-122.8204
2022/2023,3396641,Chilliwack Adventist Christian School,33,Chilliwack                              ,Independent School,46018 Riverside Dr,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.18043,-121.95144
2022/2023,3333008,Chilliwack Central Elementary Community,33,Chilliwack                              ,Public School,9435 Young Rd,Chilliwack                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.173971,-121.95318
2022/2023,3333004,Chilliwack Middle School,33,Chilliwack                              ,Public School,46354 Yale Rd,Chilliwack                    ,STANDARD,MIDDLE SCHOOL,YES,YES,YES,NO,49.1735207,-121.94376
2022/2023,3333012,Chilliwack Secondary,33,Chilliwack                              ,Public School,46363 Yale Rd,Chilliwack                    ,STANDARD,SECONDARY,YES,NO,NO,NO,49.17662,-121.9425
2022/2023,3636165,Chimney Hill Elementary,36,Surrey                                  ,Public School,14755 74 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1381637,-122.81399
2022/2023,3896403,Choice School For Gifted Children,38,Richmond                                ,Independent School,20451 Westminster Hwy,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1703932,-122.99479
2022/2023,7099171,Choices DL,70,Pacific Rim                             ,Public School,2941 8th Ave,Port Alberni                  ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.2332732,-124.79979
2022/2023,3599173,Choices Program,35,Langley                                 ,Public School,21405A 56 Ave,Langley                       ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.1052383,-122.63082
2022/2023,6196520,Christ Church Cathedral School,61,Greater Victoria                        ,Independent School,912 Vancouver St,Victoria                      ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.4222074,-123.35776
2022/2023,8396714,Christian Homelearners eStreams,83,North Okanagan-Shuswap                  ,Independent School,PO Box 162,Grindrod                      ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.6206203,-119.1449
2022/2023,6096473,Christian Life School,60,Peace River North                       ,Independent School,8923 112 Ave,Fort St John                  ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,56.2569187,-120.82833
2022/2023,5112004,Christina Lake Elementary,51,Boundary                                ,Public School,PO Box 240,Christina Lake                ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.0393099,-118.21198
2022/2023,7575029,Christine Morrison Elementary,75,Mission                                 ,Public School,32611 McRae Ave,Mission                       ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.1445788,-122.32152
2022/2023,2323078,Chute Lake Elementary,23,Central Okanagan                        ,Public School,5240 Lark St,Kelowna                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.7960002,-119.51026
2022/2023,6868024,Cilaire Elementary,68,Nanaimo-Ladysmith                       ,Public School,25 Cilaire Dr,Nanaimo                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1927499,-123.96626
2022/2023,3636111,Cindrich Elementary,36,Surrey                                  ,Public School,13455 90 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1671182,-122.85063
2022/2023,6868323,Cinnabar Valley Elementary,68,Nanaimo-Ladysmith                       ,Public School,100 Ohio Way,Nanaimo                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1119569,-123.92755
2022/2023,3636574,City Central Learning Centre,36,Surrey                                  ,Public School,13104 109 Ave,Surrey                        ,STANDARD,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.2007333,-122.85893
2022/2023,3896889,City Vancouver Academy,38,Richmond                                ,Independent School,5900 No. 3 Rd Unit 300,Richmond                      ,STANDARD,SECONDARY,NO,NO,NO,NO,49.1706454,-123.13566
2022/2023,6363021,Claremont Secondary,63,Saanich                                 ,Public School,4980 Wesley Rd,Victoria                      ,STANDARD,SECONDARY,YES,NO,NO,NO,48.5159901,-123.37489
2022/2023,3996930,Claren Academy,39,Vancouver                               ,Independent School,201-1085 Homer St,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2766737,-123.12166
2022/2023,2222025,Clarence Fulton Secondary,22,Vernon                                  ,Public School,2301 Fulton Rd,Vernon                        ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.2493786,-119.30927
2022/2023,3434060,Clayburn Middle School,34,Abbotsford                              ,Public School,35139 Laburnum Ave,Abbotsford                    ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.0706787,-122.25222
2022/2023,3636013,Clayton Elementary,36,Surrey                                  ,Public School,7541 184 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1395185,-122.71314
2022/2023,3636175,Clayton Heights Secondary,36,Surrey                                  ,Public School,7003 188 St,Surrey                        ,STANDARD,SECONDARY,YES,NO,NO,NO,49.1290746,-122.7032
2022/2023,3434018,Clearbrook Elementary,34,Abbotsford                              ,Public School,3614 Clearbrook Rd,Abbotsford                    ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.0679343,-122.33651
2022/2023,6060045,Clearview Elem-Jr Secondary,60,Peace River North                       ,Public School,10716 97 Ave,Fort St John                  ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,56.3322443,-120.29531
2022/2023,7326005,Clearwater Secondary,73,Kamloops-Thompson                       ,Public School,440 Murtle Cres,Clearwater                    ,STANDARD,SECONDARY,YES,NO,NO,NO,51.6489696,-120.03456
2022/2023,4444027,Cleveland Elementary,44,North Vancouver                         ,Public School,1255 Eldon Rd,North Vancouver               ,STANDARD,ELEMENTARY,YES,YES,NO,NO,49.346734,-123.10869
2022/2023,3737015,Cliff Drive Elementary,37,Delta                                   ,Public School,5025 12 Ave,Delta                         ,STANDARD,ELEMENTARY,YES,NO,YES,NO,49.0254764,-123.08512
2022/2023,4141024,Clinton Elementary,41,Burnaby                                 ,Public School,5858 Clinton St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2126751,-122.9784
2022/2023,3696117,Cloverdale Catholic School,36,Surrey                                  ,Independent School,17511 59 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1099616,-122.73745
2022/2023,3636593,Cloverdale Learning Centre,36,Surrey                                  ,Public School,200-5658 176 St,Surrey                        ,STANDARD,NO ENROLMENT REPORTED,NO,NO,NO,NO,49.1052427,-122.73466
2022/2023,3636004,Cloverdale Traditional,36,Surrey                                  ,Public School,17857 56 Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1046277,-122.72792
2022/2023,6161019,Cloverdale Traditional Elementary,61,Greater Victoria                        ,Public School,3427 Quadra St,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4537751,-123.35936
2022/2023,3636155,Coast Meridian Elementary,36,Surrey                                  ,Public School,8222 168A St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1524345,-122.75433
2022/2023,4896871,Coast Mountain Academy,48,Sea to Sky                              ,Independent School,3295 Mamquam Rd,Squamish                      ,STANDARD,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.7376781,-123.09516
2022/2023,4343028,Coast Salish Elementary,43,Coquitlam                               ,Public School,3538 Sheffield Avenue,Coquitlam                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2973685,-122.73896
2022/2023,3535023,Coghlan Fundamental Elementary,35,Langley                                 ,Public School,4452 256th St,Aldergrove                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.083058,-122.51459
2022/2023,2222002,Coldstream Elementary,22,Vernon                                  ,Public School,10104 Kalamalka Rd,Coldstream                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,50.2228406,-119.23287
2022/2023,3636012,Colebrook Elementary,36,Surrey                                  ,Public School,5404 125A St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1013528,-122.87391
2022/2023,6999094,Collaborative Education Alternative Prg.,69,Qualicum                                ,Public School,PO Box 1000,Qualicum Beach                ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.3480105,-124.4348
2022/2023,3434057,Colleen and Gordie Howe Middle School,34,Abbotsford                              ,Public School,3174 Clearbrook Rd,Abbotsford                    ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.0596234,-122.33664
2022/2023,5757078,College Heights Elementary,57,Prince George                           ,Public School,5410 Cowart Rd,Prince George                 ,STANDARD,ELEMENTARY,YES,YES,NO,NO,53.872745,-122.76541
2022/2023,5757101,College Heights Secondary,57,Prince George                           ,Public School,6180 Domano Blvd,Prince George                 ,STANDARD,SECONDARY,YES,NO,NO,NO,53.8634363,-122.76406
2022/2023,5831009,Collettville Elementary,58,Nicola-Similkameen                      ,Public School,615 Lindley Creek Rd,Merritt                       ,STANDARD,ELEMENTARY,NO,YES,NO,NO,50.1052458,-120.80669
2022/2023,9324064,Collines-d'or,93,Conseil scolaire francophone            ,Public School,2450 Partridge Dr,Kamloops                      ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,YES,50.745876,-120.35461
2022/2023,3939139,Collingwood Neighbourhood School,39,Vancouver                               ,Public School,3417 Euclid Ave,Vancouver                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.2363748,-123.03228
2022/2023,4596367,Collingwood School,45,West Vancouver                          ,Independent School,70 Morven Dr,West Vancouver                ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.3604904,-123.12005
2022/2023,6161068,Colquitz Middle School,61,Greater Victoria                        ,Public School,505 Dumeresq St,Victoria                      ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,48.4605693,-123.39303
2022/2023,3996895,Columbia Academy,39,Vancouver                               ,Independent School,400-570 Dunsmuir St,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2826709,-123.11528
2022/2023,3996319,Columbia College,39,Vancouver                               ,Independent School,438 Terminal Ave,Vancouver                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2725067,-123.09582
2022/2023,6715014,Columbia Elementary,67,Okanagan Skaha                          ,Public School,1437 Allison St,Penticton                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.486,-119.557
2022/2023,1919013,Columbia Park Elementary,19,Revelstoke                              ,Public School,Bag 7200,Revelstoke                    ,STANDARD,ELEMENTARY,YES,NO,NO,NO,51.0145631,-118.21857
2022/2023,2727047,Columneetza Junior Secondary,27,Cariboo-Chilcotin                       ,Public School,1045 Western Ave,Williams Lake                 ,STANDARD,JUNIOR SECONDARY,NO,NO,NO,NO,52.1459859,-122.15075
2022/2023,6262035,Colwood Elementary,62,Sooke                                   ,Public School,3000 Wishart Rd,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.4355824,-123.48597
2022/2023,4343078,Como Lake Middle School,43,Coquitlam                               ,Public School,1121 King Albert Ave,Coquitlam                     ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.2517701,-122.86002
2022/2023,4096982,COMPASS Christian New West,40,New Westminster                         ,Independent School,101-4644 240 St,Langley                       ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.0859045,-122.55857
2022/2023,3596971,COMPASS Community Learning Centres,35,Langley                                 ,Independent School,4644 240 St,Langley                       ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.0858333,-122.55829
2022/2023,6796643,Concordia Lutheran School,67,Okanagan Skaha                          ,Independent School,2800 South Main St,Penticton                     ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.4651941,-119.57909
2022/2023,4141025,Confederation Park Elementary,41,Burnaby                                 ,Public School,4715 Pandora St,Burnaby                       ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2834334,-122.99641
2022/2023,4040010,Connaught Heights Elementary,40,New Westminster                         ,Public School,2201 London St,New Westminster               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.2026355,-122.95565
2022/2023,6767000,ConnectEd - Continuing Education,67,Okanagan Skaha                          ,Public School,324 Eckhardt Ave E,Penticton                     ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.4935429,-119.58579
2022/2023,6715016,ConnectEd - Distributed Learning,67,Okanagan Skaha                          ,Public School,324 Eckhardt Ave E,Penticton                     ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.4935429,-119.58579
2022/2023,6799182,ConnectEd - Junior Alternate,67,Okanagan Skaha                          ,Public School,274 Eckhardt Ave E,Penticton                     ,ALTERNATE,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.4935429,-119.58579
2022/2023,6799183,ConnectEd - Senior Alternate,67,Okanagan Skaha                          ,Public School,274 Eckhardt Ave E,Penticton                     ,ALTERNATE,SECONDARY,NO,NO,NO,NO,49.4935429,-119.58579
2022/2023,3599313,Connections,35,Langley                                 ,Public School,23752 52 Ave,Langley                       ,ALTERNATE,SENIOR SECONDARY,NO,NO,NO,NO,49.0960957,-122.56586
2022/2023,5252003,Conrad Elementary,52,Prince Rupert                           ,Public School,PO Box 520,Prince Rupert                 ,STANDARD,ELEMENTARY,YES,NO,NO,NO,54.3209013,-130.30022
2022/2023,2323075,Constable Neil Bruce Middle School,23,Central Okanagan                        ,Public School,2010 Daimler Dr,West Kelowna                  ,STANDARD,MIDDLE SCHOOL,YES,NO,NO,NO,49.8576993,-119.59667
2022/2023,606000,Continuing Ed SD 06,6,Rocky Mountain                          ,Public School,Box 430,Invermere                     ,CONTINUING ED,SENIOR SECONDARY,NO,NO,NO,NO,49.6713299,-115.97943
2022/2023,2222000,Continuing Ed SD 22,22,Vernon                                  ,Public School,3033 30 St,Vernon                        ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,50.26627,-119.27033
2022/2023,3333000,Continuing Ed SD 33,33,Chilliwack                              ,Public School,46361 Yale Rd,Chilliwack                    ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.1766457,-121.94342
2022/2023,3838000,Continuing Ed SD 38,38,Richmond                                ,Public School,7811 Granville Ave,Richmond                      ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.1630524,-123.13952
2022/2023,4242000,Continuing Ed SD 42,42,Maple Ridge-Pitt Meadows                ,Public School,20575 Thorne Ave,Maple Ridge                   ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.2154489,-122.65276
2022/2023,4343000,Continuing Ed SD 43,43,Coquitlam                               ,Public School,380 Montgomery St,Coquitlam                     ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.2432096,-122.8399
2022/2023,4646000,Continuing Ed SD 46,46,Sunshine Coast                          ,Public School,PO Box 369,Gibsons                       ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.4734356,-123.75666
2022/2023,4747000,Continuing Ed SD 47,47,Powell River                            ,Public School,5400 Marine Ave,Powell River                  ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.8625818,-124.54251
2022/2023,5757000,Continuing Ed SD 57,57,Prince George                           ,Public School,3400 Westwood Dr,Prince George                 ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,53.8865895,-122.77791
2022/2023,5858000,Continuing Ed SD 58,58,Nicola-Similkameen                      ,Public School,PO Box 4700,Merritt                       ,CONTINUING ED,NO ENROLMENT REPORTED,NO,NO,NO,NO,50.1117863,-120.77914
2022/2023,6363000,Continuing Ed SD 63,63,Saanich                                 ,Public School,104A-4420 Chatterton Way,Victoria                      ,CONTINUING ED,SENIOR SECONDARY,NO,NO,NO,NO,48.4873732,-123.38321
2022/2023,6868000,Continuing Ed SD 68,68,Nanaimo-Ladysmith                       ,Public School,550 Seventh St,Nanaimo                       ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.1490303,-123.95134
2022/2023,6969000,Continuing Ed SD 69,69,Qualicum                                ,Public School,140 Renz Rd,Parksville                    ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.3222005,-124.34277
2022/2023,7272000,Continuing Ed SD 72,72,Campbell River                          ,Public School,740 Robron Rd,Campbell River                ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.9956695,-125.24402
2022/2023,7373000,Continuing Ed SD 73,73,Kamloops-Thompson                       ,Public School,655 Holt St,Kamloops                      ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,50.7074469,-120.38797
2022/2023,7575000,Continuing Ed SD 75,75,Mission                                 ,Public School,33919 Dewdney Trunk Rd,Mission                       ,CONTINUING ED,SENIOR SECONDARY,NO,NO,NO,NO,49.1587795,-122.2855
2022/2023,3636000,Continuing Ed SD36 (Invergarry),36,Surrey                                  ,Public School,12772 88 Ave,Surrey                        ,CONTINUING ED,SECONDARY,NO,NO,NO,NO,49.1706012,-122.8339
2022/2023,7832006,Coquihalla Elementary,78,Fraser-Cascade                          ,Public School,PO Box 969,Hope                          ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3871093,-121.43837
2022/2023,4396349,Coquitlam College - Brookmere Secondary,43,Coquitlam                               ,Independent School,516 Brookmere Ave,Coquitlam                     ,STANDARD,SECONDARY,NO,NO,NO,NO,49.2507197,-122.89093
2022/2023,4399143,Coquitlam Open Learning,43,Coquitlam                               ,Public School,1432 Brunette Ave,Coquitlam                     ,DISTRICT DISTANCE ED,SECONDARY,NO,NO,NO,NO,49.2396589,-122.85324
2022/2023,6363003,Cordova Bay Elementary,63,Saanich                                 ,Public School,5238 Cordova Bay Rd,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.5271985,-123.37001
2022/2023,3896625,Cornerstone Christian Academy,38,Richmond                                ,Independent School,7890 No. 5 Rd,Richmond                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1560309,-123.09089
2022/2023,3496320,Cornerstone Christian School,34,Abbotsford                              ,Independent School,PO Box 520 STN Main,Abbotsford                    ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.074084,-122.31536
2022/2023,3696596,Cornerstone Montessori School,36,Surrey                                  ,Independent School,14724 84 Ave,Surrey                        ,STANDARD,ELEMENTARY,NO,NO,NO,NO,49.1550235,-122.81434
2022/2023,3996113,Corpus Christi School,39,Vancouver                               ,Independent School,6344 Nanaimo St,Vancouver                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.226537,-123.05846
2022/2023,2828034,Correlieu Secondary School,28,Quesnel                                 ,Public School,850 Anderson Dr,Quesnel                       ,STANDARD,SECONDARY,YES,YES,NO,NO,52.9670758,-122.51657
2022/2023,7272017,Cortes Island School,72,Campbell River                          ,Public School,PO Box 179,Mansons Landing               ,STANDARD,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,50.0600105,-124.9831
2022/2023,9347006,Cote-du-soleil,93,Conseil scolaire francophone            ,Public School,4368 Michigan Ave,Powell River                  ,STANDARD,ELEMENTARY JR SECONDARY,NO,NO,NO,YES,49.8339638,-124.52346
2022/2023,3737039,Cougar Canyon Elementary,37,Delta                                   ,Public School,11664 Lyon Rd,Delta                         ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1255536,-122.89892
2022/2023,3636139,Cougar Creek Elementary,36,Surrey                                  ,Public School,12236 70A Ave,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1305139,-122.8832
2022/2023,7171065,Courtenay Elementary,71,Comox Valley                            ,Public School,1540 McPhee Ave,Courtenay                     ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.6822591,-124.99823
2022/2023,4496638,Cousteau L'Ecole Francaise Interna'le,44,North Vancouver                         ,Independent School,3657 Fromme Rd,North Vancouver               ,STANDARD,ELEMENTARY JR SECONDARY,NO,YES,NO,NO,49.3428147,-123.04527
2022/2023,4444049,Cove Cliff Elementary,44,North Vancouver                         ,Public School,1818 Banbury Rd,North Vancouver               ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.3228636,-122.94825
2022/2023,7979047,Cowichan Open School,79,Cowichan Valley                         ,Public School,1033 Nagle St,Duncan                        ,STANDARD,SECONDARY,NO,NO,NO,NO,48.786332,-123.71645
2022/2023,7965009,Cowichan Secondary,79,Cowichan Valley                         ,Public School,2652 James St,Duncan                        ,STANDARD,SECONDARY,NO,YES,NO,NO,48.7812801,-123.70108
2022/2023,7999145,Cowichan Valley Distributed Learning,79,Cowichan Valley                         ,Public School,1033 Nagle St,Duncan                        ,DISTRICT DISTANCE ED,ELEMENTARY SECONDARY,NO,NO,NO,NO,48.786332,-123.71645
2022/2023,7999081,Cowichan Valley Open Learning Co-op,79,Cowichan Valley                         ,Public School,1033 Nagle St,Duncan                        ,ALTERNATE,ELEMENTARY SECONDARY,NO,NO,NO,NO,48.786332,-123.71645
2022/2023,3636157,Coyote Creek Elementary,36,Surrey                                  ,Public School,8131 156 St,Surrey                        ,STANDARD,ELEMENTARY,YES,NO,NO,NO,49.1502725,-122.79098
2022/2023,6161010,Craigflower Elementary,61,Greater Victoria                        ,Public School,2766 Admirals Rd,Victoria                      ,STANDARD,ELEMENTARY,YES,NO,NO,NO,48.453654,-123.42092
2022/2023,886006,Crawford Bay Elem-Secondary,8,Kootenay Lake                           ,Public School,PO Box 100,Crawford Bay                  ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.6808776,-116.82908
2022/2023,3596289,Credo Christian Schools,35,Langley                                 ,Independent School,21846 52 Ave,Langley                       ,STANDARD,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.0957102,-122.61716
