SCHOOL_EDUCATION_LEVEL,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILITY_TYPE,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
ELEMENTARY,2022/2023,3939066,Sir Sandford Fleming Elementary,39,Vancouver                               ,Public School,6363 Lanark St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2257316,-123.0766
ELEMENTARY,2022/2023,3939049,Sir Wilfred Grenfell Community,39,Vancouver                               ,Public School,3323 Wellington Ave,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2427574,-123.03453
ELEMENTARY,2022/2023,3939085,Sir Wilfrid Laurier Elementary,39,Vancouver                               ,Public School,7350 Laurel St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2185527,-123.12561
ELEMENTARY,2022/2023,3939086,Sir William Osler Elementary,39,Vancouver                               ,Public School,5970 Selkirk St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2313065,-123.13262
SECONDARY,2022/2023,3939015,Sir Winston Churchill Secondary,39,Vancouver                               ,Public School,7055 Heather St,Vancouver                     ,STANDARD,YES,YES,NO,NO,49.2207332,-123.12511
ELEMENTARY,2022/2023,3939058,Sir Wm Van Horne Elementary,39,Vancouver                               ,Public School,5855 Ontario St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2317542,-123.10634
ELEMENTARY,2022/2023,3939087,Southlands Elementary,39,Vancouver                               ,Public School,5351 Camosun St,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2380447,-123.19765
ELEMENTARY,2022/2023,3996135,St Andrew's,39,Vancouver                               ,Independent School,450 47th Ave E,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2272146,-123.09572
ELEMENTARY,2022/2023,3996662,St Anthony of Padua,39,Vancouver                               ,Independent School,1370 73rd Ave W,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2044001,-123.13687
ELEMENTARY,2022/2023,3996138,St Augustine's,39,Vancouver                               ,Independent School,2154 7th Ave W,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2653331,-123.15333
ELEMENTARY,2022/2023,3996077,St Francis of Assisi,39,Vancouver                               ,Independent School,870 Victoria Dr,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2769021,-123.06521
ELEMENTARY,2022/2023,3996140,St Francis Xavier,39,Vancouver                               ,Independent School,428 Great Northern Way,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.266491,-123.09509
ELEMENTARY SECONDARY,2022/2023,3996002,St George's School,39,Vancouver                               ,Independent School,4175 W 29th Ave,Vancouver                     ,STANDARD,YES,NO,NO,NO,49.2473285,-123.19923
